year,month,day_of_week,hour,is_weekend,n_occupants,is_peak,y_kWh
2025,11,1,2,0,5,0,1.86
2025,11,1,3,0,3,0,3.02
2025,11,1,4,0,5,0,2.75
2025,11,1,5,0,5,0,2.93
2025,11,1,6,0,5,1,2.75
2025,11,1,7,0,3,1,2.48
2025,11,1,8,0,3,1,3.24
2025,11,1,9,0,4,0,2.5
2025,11,1,10,0,5,0,3.0
2025,11,1,11,0,5,0,2.5
2025,11,1,12,0,5,0,1.91
2025,11,1,13,0,5,0,1.42
2025,11,1,14,0,2,0,1.28
2025,11,1,15,0,3,0,0.93
2025,11,1,16,0,5,0,1.76
2025,11,1,17,0,3,0,1.08
2025,11,1,18,0,6,0,1.35
2025,11,1,19,0,5,1,0.65
2025,11,1,20,0,3,1,1.19
2025,11,1,21,0,4,1,1.65
2025,11,1,22,0,5,0,1.4
2025,11,1,23,0,6,0,2.05
2025,11,2,0,0,5,0,1.67
2025,11,2,1,0,3,0,1.85
2025,11,2,2,0,2,0,2.61
2025,11,2,3,0,2,0,2.59
2025,11,2,4,0,5,0,3.06
2025,11,2,5,0,2,0,2.37
2025,11,2,6,0,3,1,3.21
2025,11,2,7,0,3,1,3.75
2025,11,2,8,0,2,1,2.86
2025,11,2,9,0,5,0,2.72
2025,11,2,10,0,3,0,2.55
2025,11,2,11,0,5,0,1.7
2025,11,2,12,0,6,0,3.62
2025,11,2,13,0,6,0,2.26
2025,11,2,14,0,3,0,1.37
2025,11,2,15,0,6,0,1.67
2025,11,2,16,0,6,0,0.91
2025,11,2,17,0,5,0,1.18
2025,11,2,18,0,6,0,1.3
2025,11,2,19,0,5,1,1.12
2025,11,2,20,0,2,1,0.72
2025,11,2,21,0,6,1,1.19
2025,11,2,22,0,6,0,2.09
2025,11,2,23,0,6,0,1.13
2025,11,3,0,0,6,0,1.92
2025,11,3,1,0,2,0,2.09
2025,11,3,2,0,2,0,2.54
2025,11,3,3,0,3,0,2.93
2025,11,3,4,0,2,0,3.35
2025,11,3,5,0,2,0,2.88
2025,11,3,6,0,6,1,3.24
2025,11,3,7,0,4,1,3.12
2025,11,3,8,0,4,1,3.01
2025,11,3,9,0,2,0,2.54
2025,11,3,10,0,3,0,2.2
2025,11,3,11,0,2,0,1.93
2025,11,3,12,0,4,0,1.77
2025,11,3,13,0,6,0,1.84
2025,11,3,14,0,6,0,1.73
2025,11,3,15,0,3,0,1.39
2025,11,3,16,0,4,0,0.97
2025,11,3,17,0,5,0,1.58
2025,11,3,18,0,3,0,1.46
2025,11,3,19,0,6,1,0.93
2025,11,3,20,0,5,1,0.89
2025,11,3,21,0,3,1,1.33
2025,11,3,22,0,3,0,1.88
2025,11,3,23,0,2,0,1.84
2025,11,4,0,0,3,0,2.17
2025,11,4,1,0,5,0,2.2
2025,11,4,2,0,3,0,2.64
2025,11,4,3,0,2,0,3.17
2025,11,4,4,0,3,0,2.79
2025,11,4,5,0,4,0,3.01
2025,11,4,6,0,4,1,3.08
2025,11,4,7,0,4,1,3.05
2025,11,4,8,0,3,1,2.44
2025,11,4,9,0,5,0,2.14
2025,11,4,10,0,4,0,2.19
2025,11,4,11,0,5,0,2.31
2025,11,4,12,0,3,0,2.17
2025,11,4,13,0,3,0,1.58
2025,11,4,14,0,5,0,1.91
2025,11,4,15,0,5,0,1.25
2025,11,4,16,0,4,0,1.14
2025,11,4,17,0,6,0,0.98
2025,11,4,18,0,2,0,1.04
2025,11,4,19,0,5,1,1.25
2025,11,4,20,0,4,1,1.33
2025,11,4,21,0,5,1,1.02
2025,11,4,22,0,4,0,1.96
2025,11,4,23,0,4,0,1.41
